index,age,gender,country,education,role,field,cat_experience,cat_salary,cod_env
16,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,Energy/Mining,Senior+,< 25K,JupyterLab 
16,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,Energy/Mining,Senior+,< 25K,Jupyter Notebook
32,22-24,Nonbinary,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,,RStudio 
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,Non-profit/Service,Mid,< 25K, Notepad++
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,Non-profit/Service,Mid,< 25K,Jupyter Notebook
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,JupyterLab 
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Visual Studio 
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Visual Studio Code (VSCode) 
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,PyCharm 
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,MATLAB 
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Jupyter Notebook
52,40-44,Man,South Africa,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,RStudio 
52,40-44,Man,South Africa,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,Jupyter Notebook
53,40-44,Man,Other,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,PyCharm 
53,40-44,Man,Other,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K, Other
66,30-34,Prefer not to say,China,I prefer not to answer,Data Analyst,Computers/Technology,Junior,< 25K,PyCharm 
66,30-34,Prefer not to say,China,I prefer not to answer,Data Analyst,Computers/Technology,Junior,< 25K, Spyder
67,30-34,Man,Other,Master’s degree,Business Analyst,Online Service/Internet-based Services,Junior,< 25K, Spyder
67,30-34,Man,Other,Master’s degree,Business Analyst,Online Service/Internet-based Services,Junior,< 25K,Jupyter Notebook
77,22-24,Man,China,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,JupyterLab 
77,22-24,Man,China,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,PyCharm 
77,22-24,Man,China,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Jupyter Notebook
82,30-34,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Visual Studio Code (VSCode) 
82,30-34,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K, Sublime Text
82,30-34,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Jupyter Notebook
91,30-34,Man,United States of America,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,Jupyter Notebook
102,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,JupyterLab 
102,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Jupyter Notebook
106,30-34,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,, None
108,40-44,Man,Israel,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,100K - 200K,Jupyter Notebook
108,40-44,Man,Israel,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,100K - 200K, Other
109,22-24,Man,India,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,RStudio 
109,22-24,Man,India,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Jupyter Notebook
