index,age,gender,country,education,role,field,cat_experience,cat_salary,courses_unido
16,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,Energy/Mining,Senior+,< 25K,Coursera
16,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,Energy/Mining,Senior+,< 25K,Kaggle Learn Courses
16,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,Energy/Mining,Senior+,< 25K,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,Non-profit/Service,Mid,< 25K,Coursera
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,Non-profit/Service,Mid,< 25K,Kaggle Learn Courses
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,Non-profit/Service,Mid,< 25K,DataCamp
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,Non-profit/Service,Mid,< 25K,University Courses (resulting in a university degree)
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,Non-profit/Service,Mid,< 25K,Other
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Coursera
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,edX
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Kaggle Learn Courses
52,40-44,Man,South Africa,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,Coursera
52,40-44,Man,South Africa,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,Udemy
53,40-44,Man,Other,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,Coursera
53,40-44,Man,Other,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,Kaggle Learn Courses
53,40-44,Man,Other,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,DataCamp
53,40-44,Man,Other,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,Udacity
53,40-44,Man,Other,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,Udemy
53,40-44,Man,Other,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,LinkedIn Learning
53,40-44,Man,Other,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,University Courses (resulting in a university degree)
67,30-34,Man,Other,Master’s degree,Business Analyst,Online Service/Internet-based Services,Junior,< 25K,Udemy
77,22-24,Man,China,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,DataCamp
77,22-24,Man,China,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,University Courses (resulting in a university degree)
82,30-34,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Kaggle Learn Courses
91,30-34,Man,United States of America,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,Coursera
91,30-34,Man,United States of America,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,Kaggle Learn Courses
91,30-34,Man,United States of America,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,DataCamp
91,30-34,Man,United States of America,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,Udemy
91,30-34,Man,United States of America,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,University Courses (resulting in a university degree)
91,30-34,Man,United States of America,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,Other
102,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Coursera
102,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Kaggle Learn Courses
102,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,DataCamp
102,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Udemy
102,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,LinkedIn Learning
102,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,University Courses (resulting in a university degree)
108,40-44,Man,Israel,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,100K - 200K,Coursera
108,40-44,Man,Israel,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,100K - 200K,LinkedIn Learning
109,22-24,Man,India,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Coursera
109,22-24,Man,India,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Kaggle Learn Courses
142,30-34,Man,Colombia,I prefer not to answer,Data Analyst,Accounting/Finance,Junior,< 25K,Udemy
150,70+,Woman,United States of America,Master’s degree,Data Analyst,Government/Public Service,Senior+,100K - 200K,Coursera
150,70+,Woman,United States of America,Master’s degree,Data Analyst,Government/Public Service,Senior+,100K - 200K,Kaggle Learn Courses
150,70+,Woman,United States of America,Master’s degree,Data Analyst,Government/Public Service,Senior+,100K - 200K,DataCamp
150,70+,Woman,United States of America,Master’s degree,Data Analyst,Government/Public Service,Senior+,100K - 200K,Udemy
150,70+,Woman,United States of America,Master’s degree,Data Analyst,Government/Public Service,Senior+,100K - 200K,LinkedIn Learning
150,70+,Woman,United States of America,Master’s degree,Data Analyst,Government/Public Service,Senior+,100K - 200K,University Courses (resulting in a university degree)
167,45-49,Man,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,Senior,100K - 200K,Coursera
167,45-49,Man,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,Senior,100K - 200K,Kaggle Learn Courses
167,45-49,Man,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,Senior,100K - 200K,Udemy
167,45-49,Man,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,Senior,100K - 200K,LinkedIn Learning
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 25K,Coursera
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 25K,Kaggle Learn Courses
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 25K,DataCamp
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 25K,Fast.ai
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 25K,Udemy
190,40-44,Man,Japan,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Sin experiencia,50K - 100K,Kaggle Learn Courses
190,40-44,Man,Japan,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Sin experiencia,50K - 100K,Udemy
197,40-44,Man,Russia,Bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,25K - 50K,Coursera
197,40-44,Man,Russia,Bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,25K - 50K,Other
220,30-34,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Kaggle Learn Courses
220,30-34,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Udemy
