index,age,gender,country,education,role,field,cat_experience,cat_salary,languages
16,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,Energy/Mining,Senior+,< 25K,Python
16,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,Energy/Mining,Senior+,< 25K, SQL
32,22-24,Nonbinary,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,, R
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,Non-profit/Service,Mid,< 25K,Python
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Python
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, SQL
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, C
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, C++
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Java
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Javascript
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, MATLAB
52,40-44,Man,South Africa,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K, R
52,40-44,Man,South Africa,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K, SQL
53,40-44,Man,Other,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,Python
53,40-44,Man,Other,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K, SQL
53,40-44,Man,Other,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K, Other
66,30-34,Prefer not to say,China,I prefer not to answer,Data Analyst,Computers/Technology,Junior,< 25K,Python
67,30-34,Man,Other,Master’s degree,Business Analyst,Online Service/Internet-based Services,Junior,< 25K,Python
77,22-24,Man,China,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Python
82,30-34,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Python
91,30-34,Man,United States of America,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,Python
91,30-34,Man,United States of America,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K, SQL
102,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Python
106,30-34,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,, SQL
106,30-34,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,, C++
108,40-44,Man,Israel,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,100K - 200K,Python
108,40-44,Man,Israel,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,100K - 200K, SQL
109,22-24,Man,India,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K, R
109,22-24,Man,India,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K, SQL
109,22-24,Man,India,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K, C++
142,30-34,Man,Colombia,I prefer not to answer,Data Analyst,Accounting/Finance,Junior,< 25K, SQL
150,70+,Woman,United States of America,Master’s degree,Data Analyst,Government/Public Service,Senior+,100K - 200K,Python
150,70+,Woman,United States of America,Master’s degree,Data Analyst,Government/Public Service,Senior+,100K - 200K, SQL
167,45-49,Man,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,Senior,100K - 200K,Python
167,45-49,Man,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,Senior,100K - 200K, SQL
167,45-49,Man,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,Senior,100K - 200K, Javascript
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 25K,Python
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 25K, SQL
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 25K, C
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 25K, Javascript
189,30-34,Man,United States of America,Master’s degree,Business Analyst,Accounting/Finance,Sin experiencia,100K - 200K,
190,40-44,Man,Japan,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Sin experiencia,50K - 100K,
197,40-44,Man,Russia,Bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,25K - 50K,Python
220,30-34,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Python
220,30-34,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, SQL
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 25K,Python
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 25K, SQL
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 25K, C++
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 25K, Other
253,55-59,Woman,Brazil,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K, SQL
257,25-29,Woman,Pakistan,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K, SQL
263,25-29,Woman,India,Bachelor’s degree,Data Analyst,Energy/Mining,Junior,< 25K,Python
263,25-29,Woman,India,Bachelor’s degree,Data Analyst,Energy/Mining,Junior,< 25K, R
263,25-29,Woman,India,Bachelor’s degree,Data Analyst,Energy/Mining,Junior,< 25K, SQL
265,35-39,Woman,Other,Master’s degree,Data Analyst,Computers/Technology,Senior+,,Python
265,35-39,Woman,Other,Master’s degree,Data Analyst,Computers/Technology,Senior+,, R
265,35-39,Woman,Other,Master’s degree,Data Analyst,Computers/Technology,Senior+,, SQL
269,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,Academics/Education,Mid,< 25K,Python
