index,age,gender,country,education,role,field,cat_experience,cat_salary,learn_unido
16,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,Energy/Mining,Senior+,< 25K,Microsoft Azure SQL Database 
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,Non-profit/Service,Mid,< 25K,MySQL 
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,Non-profit/Service,Mid,< 25K,SQLite 
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,Non-profit/Service,Mid,< 25K,MongoDB 
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,Non-profit/Service,Mid,< 25K,Microsoft SQL Server 
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,Non-profit/Service,Mid,< 25K,Microsoft Azure SQL Database 
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,Non-profit/Service,Mid,< 25K,Microsoft Azure Cosmos DB 
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,IBM Db2 
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Microsoft Azure SQL Database 
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Google Cloud Firestore 
82,30-34,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Microsoft Azure SQL Database 
82,30-34,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Amazon DynamoDB 
102,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,MySQL 
102,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,SQLite 
102,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Oracle Database 
102,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,MongoDB 
102,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Microsoft SQL Server 
102,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Amazon DynamoDB 
108,40-44,Man,Israel,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,100K - 200K,Snowflake 
108,40-44,Man,Israel,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,100K - 200K,Microsoft SQL Server 
109,22-24,Man,India,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Google Cloud BigQuery 
142,30-34,Man,Colombia,I prefer not to answer,Data Analyst,Accounting/Finance,Junior,< 25K,MySQL 
190,40-44,Man,Japan,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Sin experiencia,50K - 100K,MySQL 
190,40-44,Man,Japan,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Sin experiencia,50K - 100K,PostgreSQL 
190,40-44,Man,Japan,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Sin experiencia,50K - 100K,Snowflake 
190,40-44,Man,Japan,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Sin experiencia,50K - 100K,Microsoft SQL Server 
190,40-44,Man,Japan,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Sin experiencia,50K - 100K,Amazon Aurora 
190,40-44,Man,Japan,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Sin experiencia,50K - 100K,Amazon RDS 
190,40-44,Man,Japan,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Sin experiencia,50K - 100K,Google Cloud SQL 
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 25K,MySQL 
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 25K,PostgreSQL 
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 25K,SQLite 
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 25K,Other
253,55-59,Woman,Brazil,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Oracle Database 
309,35-39,Woman,Tunisia,Doctoral degree,Data Analyst,Academics/Education,Mid,< 25K,MySQL 
309,35-39,Woman,Tunisia,Doctoral degree,Data Analyst,Academics/Education,Mid,< 25K,MongoDB 
309,35-39,Woman,Tunisia,Doctoral degree,Data Analyst,Academics/Education,Mid,< 25K,IBM Db2 
309,35-39,Woman,Tunisia,Doctoral degree,Data Analyst,Academics/Education,Mid,< 25K,Amazon RDS 
340,25-29,Woman,Italy,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,PostgreSQL 
340,25-29,Woman,Italy,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Microsoft SQL Server 
340,25-29,Woman,Italy,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Microsoft Azure Cosmos DB 
340,25-29,Woman,Italy,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Amazon RDS 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,MySQL 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,PostgreSQL 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,SQLite 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Oracle Database 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,MongoDB 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Snowflake 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,IBM Db2 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Microsoft SQL Server 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Microsoft Azure SQL Database 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Microsoft Azure Cosmos DB 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Amazon Redshift 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Amazon Aurora 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Amazon DynamoDB 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Amazon RDS 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Google Cloud BigQuery 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Google Cloud SQL 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Google Cloud Firestore 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Google Cloud BigTable 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Google Cloud Spanner 
363,35-39,Man,United States of America,Bachelor’s degree,Business Analyst,Retail/Sales,Senior,50K - 100K,MySQL 
363,35-39,Man,United States of America,Bachelor’s degree,Business Analyst,Retail/Sales,Senior,50K - 100K,PostgreSQL 
363,35-39,Man,United States of America,Bachelor’s degree,Business Analyst,Retail/Sales,Senior,50K - 100K,SQLite 
363,35-39,Man,United States of America,Bachelor’s degree,Business Analyst,Retail/Sales,Senior,50K - 100K,Microsoft SQL Server 
363,35-39,Man,United States of America,Bachelor’s degree,Business Analyst,Retail/Sales,Senior,50K - 100K,Microsoft Azure SQL Database 
363,35-39,Man,United States of America,Bachelor’s degree,Business Analyst,Retail/Sales,Senior,50K - 100K,Amazon Aurora 
363,35-39,Man,United States of America,Bachelor’s degree,Business Analyst,Retail/Sales,Senior,50K - 100K,Amazon RDS 
363,35-39,Man,United States of America,Bachelor’s degree,Business Analyst,Retail/Sales,Senior,50K - 100K,Google Cloud SQL 
375,25-29,Woman,India,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Mid,< 25K,Snowflake 
375,25-29,Woman,India,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Mid,< 25K,Microsoft SQL Server 
