index,age,gender,country,education,role,field,cat_experience,cat_salary,notebooks_unido
16,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,Energy/Mining,Senior+,< 25K, Kaggle Notebooks
16,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,Energy/Mining,Senior+,< 25K,Colab Notebooks
16,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,Energy/Mining,Senior+,< 25K, Databricks Collaborative Notebooks 
32,22-24,Nonbinary,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,,Google Cloud Datalab
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,Non-profit/Service,Mid,< 25K, Kaggle Notebooks
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,Non-profit/Service,Mid,< 25K,Colab Notebooks
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Kaggle Notebooks
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Azure Notebooks
52,40-44,Man,South Africa,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K, IBM Watson Studio 
53,40-44,Man,Other,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,Colab Notebooks
66,30-34,Prefer not to say,China,I prefer not to answer,Data Analyst,Computers/Technology,Junior,< 25K,Other
67,30-34,Man,Other,Master’s degree,Business Analyst,Online Service/Internet-based Services,Junior,< 25K,Colab Notebooks
77,22-24,Man,China,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Colab Notebooks
82,30-34,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K, Kaggle Notebooks
82,30-34,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K, Binder / JupyterHub 
91,30-34,Man,United States of America,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,Colab Notebooks
102,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Azure Notebooks
108,40-44,Man,Israel,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,100K - 200K,Colab Notebooks
109,22-24,Man,India,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K, Kaggle Notebooks
167,45-49,Man,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,Senior,100K - 200K, Kaggle Notebooks
167,45-49,Man,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,Senior,100K - 200K, IBM Watson Studio 
167,45-49,Man,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,Senior,100K - 200K, Amazon Sagemaker Studio Notebooks 
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 25K, Kaggle Notebooks
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 25K,Colab Notebooks
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 25K,Google Cloud Datalab
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 25K, Databricks Collaborative Notebooks 
220,30-34,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Colab Notebooks
220,30-34,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Observable Notebooks 
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 25K, Kaggle Notebooks
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 25K,Colab Notebooks
257,25-29,Woman,Pakistan,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Google Cloud Datalab
263,25-29,Woman,India,Bachelor’s degree,Data Analyst,Energy/Mining,Junior,< 25K,Google Cloud Datalab
265,35-39,Woman,Other,Master’s degree,Data Analyst,Computers/Technology,Senior+,, Kaggle Notebooks
269,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,Academics/Education,Mid,< 25K,Colab Notebooks
270,25-29,Woman,India,Master’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K,Colab Notebooks
282,40-44,Man,Canada,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Colab Notebooks
284,30-34,Man,Nigeria,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Azure Notebooks
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 25K,Other
295,45-49,Man,Other,Master’s degree,Business Analyst,Government/Public Service,Junior,< 25K,Colab Notebooks
298,40-44,Man,Mexico,Master’s degree,Business Analyst,Other,Senior+,25K - 50K, Kaggle Notebooks
298,40-44,Man,Mexico,Master’s degree,Business Analyst,Other,Senior+,25K - 50K,Colab Notebooks
309,35-39,Woman,Tunisia,Doctoral degree,Data Analyst,Academics/Education,Mid,< 25K, IBM Watson Studio 
311,22-24,Man,China,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Kaggle Notebooks
340,25-29,Woman,Italy,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K, Binder / JupyterHub 
