index,age,gender,country,education,role,field,cat_experience,cat_salary,share_unido
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,Non-profit/Service,Mid,< 20K,I do not share my work publicly
52,40-44,Man,South Africa,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,20K - 50K,I do not share my work publicly
53,40-44,Man,Other,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K, Colab 
67,30-34,Man,Other,Master’s degree,Business Analyst,Online Service/Internet-based Services,Junior,< 20K, GitHub 
77,22-24,Man,China,Master’s degree,Business Analyst,Accounting/Finance,Junior,20K - 50K, GitHub 
77,22-24,Man,China,Master’s degree,Business Analyst,Accounting/Finance,Junior,20K - 50K, Kaggle 
82,30-34,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,20K - 50K, GitHub 
82,30-34,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,20K - 50K, Kaggle 
91,30-34,Man,United States of America,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K, Colab 
142,30-34,Man,Colombia,I prefer not to answer,Data Analyst,Accounting/Finance,Junior,< 20K,I do not share my work publicly
150,70+,Woman,United States of America,Master’s degree,Data Analyst,Government/Public Service,Senior+,100K - 200K, GitHub 
150,70+,Woman,United States of America,Master’s degree,Data Analyst,Government/Public Service,Senior+,100K - 200K, Kaggle 
167,45-49,Man,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,Senior,100K - 200K, Plotly Dash 
167,45-49,Man,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,Senior,100K - 200K, Streamlit 
167,45-49,Man,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,Senior,100K - 200K, GitHub 
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 20K, GitHub 
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 20K, Kaggle 
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 20K, Colab 
197,40-44,Man,Russia,Bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,20K - 50K,I do not share my work publicly
220,30-34,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Personal blog 
253,55-59,Woman,Brazil,Master’s degree,Business Analyst,Computers/Technology,Junior,< 20K,I do not share my work publicly
257,25-29,Woman,Pakistan,Master’s degree,Data Analyst,Computers/Technology,Junior,< 20K,I do not share my work publicly
263,25-29,Woman,India,Bachelor’s degree,Data Analyst,Energy/Mining,Junior,< 20K,I do not share my work publicly
269,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,Academics/Education,Mid,< 20K, GitHub 
