index,age,gender,country,education,role,field,cat_experience,cat_salary,visual
16,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,Energy/Mining,Senior+,< 20K, Matplotlib 
16,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,Energy/Mining,Senior+,< 20K,Seaborn 
16,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,Energy/Mining,Senior+,< 20K,Plotly / Plotly Express 
32,22-24,Nonbinary,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,,Ggplot / ggplot2 
33,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,Non-profit/Service,Mid,< 20K, None
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Matplotlib 
46,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K,Plotly / Plotly Express 
52,40-44,Man,South Africa,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,20K - 50K,Plotly / Plotly Express 
52,40-44,Man,South Africa,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,20K - 50K,Ggplot / ggplot2 
52,40-44,Man,South Africa,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,20K - 50K,Shiny 
53,40-44,Man,Other,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K, Matplotlib 
66,30-34,Prefer not to say,China,I prefer not to answer,Data Analyst,Computers/Technology,Junior,< 20K, None
67,30-34,Man,Other,Master’s degree,Business Analyst,Online Service/Internet-based Services,Junior,< 20K, Matplotlib 
67,30-34,Man,Other,Master’s degree,Business Analyst,Online Service/Internet-based Services,Junior,< 20K,Seaborn 
77,22-24,Man,China,Master’s degree,Business Analyst,Accounting/Finance,Junior,20K - 50K, Matplotlib 
77,22-24,Man,China,Master’s degree,Business Analyst,Accounting/Finance,Junior,20K - 50K,Seaborn 
77,22-24,Man,China,Master’s degree,Business Analyst,Accounting/Finance,Junior,20K - 50K,Plotly / Plotly Express 
77,22-24,Man,China,Master’s degree,Business Analyst,Accounting/Finance,Junior,20K - 50K,Bokeh 
82,30-34,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,20K - 50K, None
91,30-34,Man,United States of America,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K, Matplotlib 
91,30-34,Man,United States of America,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,Seaborn 
102,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Matplotlib 
102,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K,Seaborn 
102,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K,Ggplot / ggplot2 
106,30-34,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,, Other
108,40-44,Man,Israel,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,100K - 200K, Matplotlib 
108,40-44,Man,Israel,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,100K - 200K,Seaborn 
109,22-24,Man,India,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 20K,Ggplot / ggplot2 
142,30-34,Man,Colombia,I prefer not to answer,Data Analyst,Accounting/Finance,Junior,< 20K, None
150,70+,Woman,United States of America,Master’s degree,Data Analyst,Government/Public Service,Senior+,100K - 200K, Matplotlib 
150,70+,Woman,United States of America,Master’s degree,Data Analyst,Government/Public Service,Senior+,100K - 200K,Seaborn 
167,45-49,Man,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,Senior,100K - 200K, Matplotlib 
167,45-49,Man,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,Senior,100K - 200K,Seaborn 
167,45-49,Man,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,Senior,100K - 200K,Plotly / Plotly Express 
167,45-49,Man,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,Senior,100K - 200K,Ggplot / ggplot2 
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 20K, Matplotlib 
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 20K,Seaborn 
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 20K,Geoplotlib 
