index,time,age,gender
0,910,50-54,Man
1,784,50-54,Man
2,924,22-24,Man
3,575,45-49,Man
4,781,45-49,Man
5,1020,25-29,Woman
6,141,18-21,Woman
7,484,30-34,Man
8,1744,22-24,Man
9,655,30-34,Man
10,1777,40-44,Man
11,3081,18-21,Woman
12,1922,18-21,Woman
13,852,45-49,Man
14,838,22-24,Man
15,563,35-39,Man
16,1315,50-54,Man
17,479,18-21,Man
18,249,22-24,Man
19,650,30-34,Man
20,1461,70+,Man
21,551,25-29,Woman
22,258,30-34,Man
23,773,35-39,Man
24,630,18-21,Man
25,2467,25-29,Woman
26,7750,45-49,Man
27,607,22-24,Man
28,525,22-24,Woman
29,501,18-21,Man
30,415,22-24,Man
31,317,30-34,Man
32,171,22-24,Nonbinary
33,744,30-34,Woman
34,668,22-24,Man
35,460,30-34,Woman
36,244,25-29,Woman
37,901,30-34,Man
38,625,22-24,Man
39,1239,18-21,Man
40,229993,25-29,Man
41,312,25-29,Man
42,976,55-59,Man
43,1890,30-34,Woman
44,357,18-21,Man
45,660,40-44,Man
46,1524,22-24,Man
47,453,18-21,Woman
48,793,25-29,Man
49,557,30-34,Woman
50,5215,25-29,Man
51,483,40-44,Man
52,866,40-44,Man
53,1045,40-44,Man
54,359,30-34,Man
55,1006,22-24,Woman
56,95756,30-34,Woman
57,642,35-39,Woman
58,528,18-21,Man
59,1093,35-39,Man
60,565,18-21,Man
61,405,18-21,Man
62,872,30-34,Man
63,434,18-21,Man
64,419,18-21,Man
65,1479,40-44,Man
66,665,30-34,Prefer not to say
67,1073,30-34,Man
68,626,35-39,Man
69,743,40-44,Man
70,854,25-29,Man
71,767,22-24,Man
72,4971,30-34,Woman
73,560,45-49,Man
74,2399,22-24,Man
75,786,40-44,Man
76,1293,50-54,Man
77,395,22-24,Man
78,555,25-29,Man
79,77678,22-24,Man
80,1643,35-39,Man
81,3454,30-34,Man
82,986,30-34,Man
83,1062,18-21,Man
84,161,25-29,Man
85,648,22-24,Man
86,432,25-29,Man
87,508,25-29,Man
88,463,25-29,Woman
89,642,55-59,Man
90,50748,25-29,Woman
91,674,30-34,Man
92,548,22-24,Man
93,750,55-59,Man
94,532,18-21,Man
95,1423,30-34,Man
96,661,25-29,Man
97,638,40-44,Man
98,585,22-24,Man
99,370,22-24,Man
100,174,18-21,Woman
101,294,25-29,Man
102,681,22-24,Man
103,444,25-29,Man
104,543,40-44,Woman
105,824,35-39,Man
106,3455,30-34,Man
107,728,55-59,Man
108,3097,40-44,Man
109,531,22-24,Man
110,699,18-21,Man
111,378,22-24,Woman
112,2932,45-49,Man
113,584,30-34,Woman
114,205,18-21,Man
115,1050,60-69,Man
116,61432,25-29,Man
117,445,40-44,Man
118,918,18-21,Woman
119,798,35-39,Man
120,131,18-21,Man
121,735,70+,Man
122,654,40-44,Man
123,2770,30-34,Man
124,1533,60-69,Man
125,2885,25-29,Man
126,1730,40-44,Man
127,379,40-44,Woman
128,763,22-24,Man
129,694,30-34,Man
130,776,45-49,Man
131,737,18-21,Man
132,514,25-29,Man
133,647,35-39,Man
134,386,25-29,Man
135,2048,30-34,Woman
136,43508,18-21,Woman
137,401,18-21,Man
138,682,25-29,Woman
139,753,40-44,Man
140,352,18-21,Man
141,566,25-29,Man
142,1813,30-34,Man
143,435,25-29,Man
144,986,35-39,Man
145,366,18-21,Man
146,776,40-44,Man
147,340,22-24,Man
148,339,30-34,Woman
149,436,25-29,Man
150,744,70+,Woman
151,895,22-24,Woman
152,79172,18-21,Man
153,502,22-24,Man
154,267,18-21,Woman
155,516,30-34,Man
156,427,22-24,Woman
157,985,22-24,Man
158,610,30-34,Man
159,304,22-24,Woman
160,12878,50-54,Man
161,526,60-69,Man
162,1068,30-34,Man
163,404,22-24,Woman
164,280,50-54,Man
165,904,25-29,Man
166,1565,22-24,Man
167,3089,45-49,Man
168,447,22-24,Man
169,460,35-39,Man
170,1846,60-69,Man
171,980,22-24,Man
172,660,30-34,Man
173,937,40-44,Man
174,476,18-21,Man
175,553,40-44,Woman
176,412,30-34,Man
177,324,35-39,Man
178,1894,22-24,Woman
179,1762,25-29,Man
180,866,22-24,Man
181,24380,18-21,Man
182,738,22-24,Woman
183,2032,35-39,Man
184,2084,30-34,Man
185,698,18-21,Man
186,574,35-39,Man
187,778,60-69,Man
188,493,30-34,Man
189,337,30-34,Man
190,406,40-44,Man
191,1677,55-59,Man
192,348,18-21,Man
193,536,30-34,Woman
194,186,40-44,Man
195,354,35-39,Man
196,375,22-24,Woman
197,677,40-44,Man
198,456,25-29,Man
199,916,25-29,Man
200,571,30-34,Man
201,720,30-34,Man
202,539,22-24,Man
203,1346,30-34,Man
204,338,22-24,Man
205,307,30-34,Man
206,288,18-21,Man
207,501,22-24,Man
208,2331,18-21,Man
209,3237,45-49,Man
210,531,35-39,Man
211,586,30-34,Nonbinary
212,12370,55-59,Man
213,1233,18-21,Woman
214,697,18-21,Man
215,578,35-39,Woman
216,572,30-34,Man
217,224,18-21,Prefer not to say
218,646,30-34,Man
219,794,18-21,Woman
220,815,30-34,Man
221,591,60-69,Man
222,699,35-39,Man
223,1124,70+,Man
224,520,18-21,Man
225,504,45-49,Man
226,669,18-21,Man
227,3042,25-29,Woman
228,982,25-29,Man
229,613,25-29,Man
230,798,22-24,Man
231,875,22-24,Man
232,307,55-59,Woman
233,4131,25-29,Man
234,601,50-54,Man
235,1341,22-24,Man
236,612,18-21,Woman
237,275,45-49,Man
238,1128,25-29,Man
239,961,50-54,Man
240,290,30-34,Man
241,627,30-34,Woman
242,1348,40-44,Man
243,780,18-21,Man
244,9291,35-39,Man
245,3874,18-21,Woman
246,1921,25-29,Man
247,497,22-24,Man
248,1181,25-29,Man
249,688,35-39,Woman
